mode,condition,n_runs,substitution_success_rate,all_case_accuracy,validated_trace_accuracy,token_cost_penalty_vs_baseline
hallucination,C1,200,0.775,0.405,0.4576271186440678,5734.825
hallucination,C2,200,0.775,0.345,0.38333333333333336,2152.425
hallucination,C3,200,0.78,0.345,0.38764044943820225,3110.8949999999995
hallucination,C4,200,0.775,0.31,0.33513513513513515,2008.73
hallucination,S0,200,0.58,0.56,0.56,3290.45
outage,C1,200,,0.705,0.705,660.15
outage,C2,200,,0.84,0.8527918781725888,363.3750000000003
outage,C3,200,,0.84,0.8615384615384616,621.5650000000002
outage,C4,200,,0.81,0.8140703517587939,623.3999999999999
outage,S0,200,,0.78,0.78,1137.815
timeout,C1,200,,0.0,,-3906.935
timeout,C2,200,,0.0,,-5905.25
timeout,C3,200,,0.0,,-4841.55
timeout,C4,200,,0.0,,-5977.0700000000015
timeout,S0,200,,0.0,,-4327.85
