mode,condition,n_cases,mean_delta,ci_low,ci_high
hallucination,C1,40,-0.31500000000000006,-0.470125,-0.1398750000000001
hallucination,C2,40,-0.485,-0.64,-0.325
hallucination,C3,40,-0.485,-0.625,-0.33499999999999996
hallucination,C4,40,-0.45999999999999996,-0.610125,-0.3048750000000001
hallucination,S0,40,-0.195,-0.33499999999999996,-0.059875000000000095
outage,C1,40,-0.014999999999999996,-0.09499999999999999,0.06500000000000002
outage,C2,40,0.01,-0.039999999999999994,0.055124999999999896
outage,C3,40,0.009999999999999998,-0.06,0.065
outage,C4,40,0.04,-0.025,0.10499999999999998
outage,S0,40,0.025,-0.059999999999999984,0.11000000000000001
timeout,C1,40,0.16,0.065,0.265
timeout,C2,40,-0.02,-0.09,0.045
timeout,C3,40,0.004999999999999999,-0.030000000000000006,0.045
timeout,C4,40,0.0050000000000000044,-0.05499999999999999,0.065
timeout,S0,40,-0.02,-0.11000000000000001,0.06499999999999997
