phase,mode,condition,case_id,acc,tokens,latency_ms
1,none,C1,eval_001,1.0,9804.6,10162.93289999885
1,none,C1,eval_002,1.0,9731.0,9681.260158999066
1,none,C1,eval_003,1.0,9109.6,9461.478577002708
1,none,C1,eval_004,0.6,9131.4,9478.617733999272
1,none,C1,eval_005,1.0,6612.2,8009.959606999473
1,none,C1,eval_006,1.0,9251.6,9719.68892500081
1,none,C1,eval_007,1.0,8768.4,9555.047906000254
1,none,C1,eval_008,0.2,9149.4,9571.019699000317
1,none,C1,eval_009,1.0,8525.2,9551.574632001577
1,none,C1,eval_010,1.0,8163.0,9034.180863000074
1,none,C1,eval_011,1.0,12568.2,12681.050118997518
1,none,C1,eval_012,1.0,12805.6,11736.196324000048
1,none,C1,eval_013,0.6,9252.6,10306.978190998052
1,none,C1,eval_014,0.6,10852.8,10903.316439002085
1,none,C1,eval_015,1.0,10915.8,11226.262591000705
1,none,C1,eval_016,1.0,10402.8,10660.56517400284
1,none,C1,eval_017,0.8,10290.6,10728.325336000124
1,none,C1,eval_018,0.8,9745.6,10295.365250000032
1,none,C1,eval_019,0.4,10370.8,10454.948171998694
1,none,C1,eval_020,0.8,9817.2,10901.788947998284
1,none,C1,eval_021,0.8,14431.0,12039.8298029977
1,none,C1,eval_022,0.4,13352.0,11589.91357999912
1,none,C1,eval_023,0.4,12699.0,13014.534259000357
1,none,C1,eval_024,0.4,15231.6,13559.896069000388
1,none,C1,eval_025,0.4,15899.4,13462.790863999544
1,none,C1,eval_026,1.0,9817.0,10425.609111000083
1,none,C1,eval_027,1.0,13332.8,10218.891694999911
1,none,C1,eval_028,0.4,11772.0,11435.830710004666
1,none,C1,eval_029,0.4,11747.6,11554.0451199995
1,none,C1,eval_030,0.4,11808.0,11293.339714000467
1,none,C1,eval_031,0.2,12998.8,14538.581541004532
1,none,C1,eval_032,0.4,13362.4,15111.13564799598
1,none,C1,eval_033,1.0,9855.0,11398.373820004052
1,none,C1,eval_034,0.8,11179.0,14313.136307995592
1,none,C1,eval_035,1.0,11717.4,14707.774646994949
1,none,C1,eval_036,0.2,13294.2,12771.26505200431
1,none,C1,eval_037,0.6,13200.8,13293.403760006186
1,none,C1,eval_038,0.6,12699.0,13817.492891997972
1,none,C1,eval_039,1.0,9888.8,12733.46203800611
1,none,C1,eval_040,0.0,11664.6,13004.65001300472
1,none,C2,eval_001,0.0,20141.8,15737.960348997149
1,none,C2,eval_002,0.2,12680.0,14479.38708500442
1,none,C2,eval_003,0.0,15286.4,15597.39128999354
1,none,C2,eval_004,0.0,15200.8,15100.73918600392
1,none,C2,eval_005,1.0,10467.4,12440.274525004495
1,none,C2,eval_006,1.0,9912.0,11547.743531002196
1,none,C2,eval_007,0.0,15198.0,17150.275592997787
1,none,C2,eval_008,0.0,14843.8,14615.35875399568
1,none,C2,eval_009,0.2,14742.4,16075.166401002209
1,none,C2,eval_010,1.0,10358.8,11871.892674003902
1,none,C2,eval_011,1.0,12828.0,14529.012659004366
